施術カテゴリ,施術名,対象部位,回数,通常価格（税込）,初回価格,回数券価格,キャンペーン価格,プリペイド割価格
シミ取り（そばかす・肝斑・ほくろ）,,お尻,,33000,,,,26400
シミ取り（そばかす・肝斑・ほくろ）,,取り放題,,165000,,,99000,
シミ取り（そばかす・肝斑・ほくろ）,ADM,1㎜ごと,,2200,,,,
シミ取り（そばかす・肝斑・ほくろ）,ADM,片頬,,22000,,,,
シミ取り（そばかす・肝斑・ほくろ）,CO2レーザー（ほくろ・脂漏性角化症・稗粒腫）,1個〜3mmまで,,5500,,,,
シミ取り（そばかす・肝斑・ほくろ）,CO2レーザー（ほくろ・脂漏性角化症・稗粒腫）,追加1mmごと,,1100,,,,
シミ取り（そばかす・肝斑・ほくろ）,Co２ハイリュウシュ,,,5500,,,,
シミ取り（そばかす・肝斑・ほくろ）,キシロカイン麻酔,,,1100,,,,
シミ取り（そばかす・肝斑・ほくろ）,ピコW,,20％,38500,,,,30800
シミ取り（そばかす・肝斑・ほくろ）,ピコトーニング,V＋Iライン,,11000,,,,8800
シミ取り（そばかす・肝斑・ほくろ）,ピコトーニング,デコルテ,,11000,,,,8800
シミ取り（そばかす・肝斑・ほくろ）,ピコトーニング,リップ,,5500,,,,4400
シミ取り（そばかす・肝斑・ほくろ）,ピコトーニング,片手の甲,,8360,,,,6688
シミ取り（そばかす・肝斑・ほくろ）,ピコトーニング,肘下（手の甲含まず）,,22000,,,,17600
シミ取り（そばかす・肝斑・ほくろ）,ピコトーニング,背中から肩甲骨,,16500,,,,13200
シミ取り（そばかす・肝斑・ほくろ）,ピコトーニング,脇,,8800,,,,7040
シミ取り（そばかす・肝斑・ほくろ）,ピコトーニング,顔全体,20％,16500,,,,13200
シミ取り（そばかす・肝斑・ほくろ）,ピコトーニング,首,,11000,,,,8800
シミ取り（そばかす・肝斑・ほくろ）,ピコフラクショナル,頬+鼻,,19800,,,,15840
シミ取り（そばかす・肝斑・ほくろ）,ピコフラクショナル,顔全体,20％,22000,,,,17600
シミ取り（そばかす・肝斑・ほくろ）,ピコレーザー・ピコスポット,10mm〜（1mmにつき）,,1100,,,,
シミ取り（そばかす・肝斑・ほくろ）,ピコレーザー・ピコスポット,10mmまで,,11000,,,,
シミ取り（そばかす・肝斑・ほくろ）,ピコレーザー・ピコスポット,1mmまで,,1100,,,,
シミ取り（そばかす・肝斑・ほくろ）,ピコレーザー・ピコスポット,5mmまで,,5500,,,,
シミ取り（そばかす・肝斑・ほくろ）,ピコレーザー・ピコスポット,両前腕（肘下・手・甲・指）,,110000,,,,
シミ取り（そばかす・肝斑・ほくろ）,ピコレーザー・ピコスポット,全顔,,88000,,,,
シミ取り（そばかす・肝斑・ほくろ）,ピコレーザー・ピコスポット,眉下〜鼻下,,77000,,,,
シミ取り（そばかす・肝斑・ほくろ）,ピコレーザー・ピコスポット,背中（肩甲骨 上 or 下）,,110000,,,,
シミ取り（そばかす・肝斑・ほくろ）,フォトフェイシャル,お尻,,33000,,,,26400
シミ取り（そばかす・肝斑・ほくろ）,フォトフェイシャル,手の甲,,16500,,,,13200
シミ取り（そばかす・肝斑・ほくろ）,フォトフェイシャル,背中から肩甲骨,,33000,,,,26400
シミ取り（そばかす・肝斑・ほくろ）,フォトフェイシャル,腕（肘上・腕下）,,33000,,,,26400
シミ取り（そばかす・肝斑・ほくろ）,フォトフェイシャル,頬のみ,,13200,,,,10560
シミ取り（そばかす・肝斑・ほくろ）,フォトフェイシャル,頬＋鼻,,11000,,,,8800
シミ取り（そばかす・肝斑・ほくろ）,フォトフェイシャル,首・デコルテ,,22000,,,,17600
シミ取り（そばかす・肝斑・ほくろ）,フォトフェイシャル（フォトダブル）,顔全体,20％,16500,,,,13200
シミ取り（そばかす・肝斑・ほくろ）,局所麻酔0.5CC,,,11000,,,,
シミ取り（そばかす・肝斑・ほくろ）,局所麻酔ブロック0.5CC,,,11000,,,,
しわ・たるみ,アクネトーニング,全顔,,19800,,,13200,15840
しわ・たるみ,アクネトーニング,全顔,20.00%,59400,,,,47520
しわ・たるみ,オプションタイトニング,オプション,,33000,,,26400,26400
しわ・たるみ,オプションタイトニング,オプション,20.00%,99000,,,,79200
しわ・たるみ,スマイルリフト,口腔内,,48000,,,39600,38400
しわ・たるみ,スマイルリフト,口腔内,20.00%,144000,,,,115200
しわ・たるみ,タイトニング,全顔,,42000,,,33000,33600
しわ・たるみ,タイトニング,全顔,20.00%,126000,,,,100800
しわ・たるみ,トーニング,全顔,,19800,,,13200,15840
しわ・たるみ,トーニング,全顔,20.00%,59400,,,,47520
しわ・たるみ,ピーリング,全顔,,24800,,,19800,19840
しわ・たるみ,ピーリング,全顔,20.00%,74400,,,,59520
しわ・たるみ,フェイシャルハイフ（ウルトラフォーマーMPT）,オーダーメイドハイフ（スタンダード）680s,,82500,,,66000,66000
しわ・たるみ,フェイシャルハイフ（ウルトラフォーマーMPT）,オーダーメイドハイフ（プレミアム）880s,,99000,,,79200,79200
しわ・たるみ,フェイシャルハイフ（ウルトラフォーマーMPT）,オーダーメイドハイフ（ライト）356s,,59400,,,49800,47520
しわ・たるみ,フェイシャルハイフ（ウルトラフォーマーMPT）,ハイフアイシャワー®224s,,24800,,,19800,19840
しわ・たるみ,フェイシャルハイフ（ウルトラフォーマーMPT）,美肌ハイフシャワー（全顔＋目元）324s,,37000,,,29800,29600
しわ・たるみ,フェイシャルハイフ（ウルトラフォーマーMPT）,美肌ハイフシャワー（首のみ）,,27500,,,,22000
しわ・たるみ,フォトナ2d,トーニング➕タイトニング,,61800,,,39600,49440
しわ・たるみ,フォトナ2d,トーニング➕タイトニング,20.00%,185400,,,,148320
しわ・たるみ,フォトナ4d,全顔,,165000,,,132000,132000
しわ・たるみ,フォトナ4d,全顔,20.00%,495000,,,,396000
しわ・たるみ,フォトナ6d,全顔,,210000,,,165000,168000
